Lurraldea;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;EAJ-PNV;PP;PH;PCTE / ELAK;PSE-EE/PSOE;PUM+J;O.E.;EH BILDU;VOX;EB-AZ;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;SUMAR
Araba;URKABUSTAIZ;	054;;;1065;718;8;710;5;705;347;25.21;4.79;;;6.2;0.0;0.28;56.34;0.99;0.0;0.0;1.55;;3.94
Araba;VALDEGOVÍA/GAUBEA;	055;;;903;547;4;543;11;532;356;38.67;12.89;;;8.66;0.0;0.0;30.57;2.76;0.37;0.18;1.66;;2.21
Araba;VILLABUENA DE ÁLAVA/ESKUERNAGA;	057;;;230;181;1;180;2;178;49;39.44;6.67;;;5.56;0.0;0.0;41.67;3.33;1.11;0.0;0.0;;1.11
Araba;VITORIA-GASTEIZ;	059;;;190280;114755;1133;113622;955;112667;75525;24.15;18.22;;;18.33;0.22;0.12;26.37;4.06;0.5;0.67;2.49;;4.02
Araba;YÉCORA/IEKORA;	060;;;202;145;3;142;1;141;57;49.3;23.94;;;6.34;0.0;0.0;15.49;1.41;0.0;0.0;0.7;;2.11
Araba;ZALDUONDO;	061;;;171;146;;146;3;143;25;30.14;1.37;;;5.48;1.37;0.0;51.37;0.68;0.68;2.05;2.05;;2.74
Araba;ZAMBRANA;	062;;;357;184;2;182;2;180;173;23.08;23.08;;;15.38;0.0;0.0;22.53;7.14;0.55;1.65;1.65;;3.85
Araba;ZIGOITIA;	018;;;1477;915;11;904;10;894;562;26.44;11.17;;;7.52;0.0;0.0;43.03;3.1;0.44;0.77;3.32;;3.1
Araba;ZUIA;	063;;;1999;1312;8;1304;9;1295;687;33.67;8.74;;;8.82;0.31;0.0;39.26;2.99;0.23;0.38;1.92;;2.99
Bizkaia;ABADIÑO;	001;;;5955;3723;31;3692;22;3670;2232;34.45;4.82;0.11;0.03;12.05;0.05;;40.76;1.57;0.14;0.43;2.63;0.24;2.11
Bizkaia;ABANTO Y CIÉRVANA-ABANTO ZIERBENA;	002;;;7793;4835;68;4767;57;4710;2958;37.38;3.21;0.08;0.04;15.71;0.1;;34.15;1.51;0.25;0.46;2.39;0.15;3.36
Bizkaia;AJANGIZ;	911;;;394;287;2;285;2;283;107;26.32;0.35;0.0;0.35;0.35;0.0;;69.82;0.0;0.0;0.7;0.7;0.0;0.7
Bizkaia;ALONSOTEGI;	912;;;2360;1609;17;1592;25;1567;751;39.82;2.95;0.0;0.06;8.23;0.13;;40.83;2.01;0.06;0.19;1.88;0.0;2.26
Bizkaia;AMOREBIETA-ETXANO;	003;;;14672;9936;63;9873;71;9802;4736;40.63;2.87;0.09;0.1;9.38;0.1;;39.68;0.96;0.19;0.57;2.17;0.15;2.39
Bizkaia;AMOROTO;	004;;;327;228;;228;1;227;99;36.84;0.0;0.0;0.0;0.44;0.0;;61.4;0.0;0.0;0.0;0.0;0.0;0.88
Bizkaia;ARAKALDO;	005;;;123;73;1;72;;72;50;40.28;0.0;0.0;0.0;6.94;0.0;;41.67;4.17;0.0;0.0;0.0;0.0;6.94
Bizkaia;ARANTZAZU;	006;;;301;241;2;239;4;235;60;28.45;0.84;0.0;0.0;2.93;0.0;;61.92;0.0;0.0;0.42;2.09;0.0;1.67
Bizkaia;AREATZA;	093;;;891;669;5;664;3;661;222;37.35;3.46;0.0;0.15;3.31;0.15;;51.51;1.05;0.0;0.15;0.45;0.45;1.51
Bizkaia;ARRANKUDIAGA;	009;;;792;592;3;589;11;578;200;39.22;1.19;0.0;0.0;1.87;0.0;;52.29;0.51;0.0;0.34;1.19;0.34;1.19
Bizkaia;ARRATZU;	914;;;337;272;;272;1;271;65;50.0;0.0;0.0;0.0;1.1;0.0;;46.32;0.37;0.0;0.0;0.37;0.0;1.47
Bizkaia;ARRIETA;	010;;;483;342;1;341;3;338;141;46.04;0.59;0.0;0.0;2.35;0.0;;44.87;0.59;0.59;0.29;1.76;0.0;2.05
Bizkaia;ARRIGORRIAGA;	011;;;9516;6102;53;6049;71;5978;3414;39.48;4.4;0.25;0.07;12.27;0.2;;33.29;1.69;0.23;0.51;2.23;0.12;4.1
Bizkaia;ARTEA;	023;;;587;457;9;448;1;447;130;44.64;1.79;0.0;0.0;1.12;0.22;;48.21;0.45;0.45;0.22;1.56;0.0;1.12
Bizkaia;ARTZENTALES;	008;;;627;415;4;411;7;404;212;46.72;2.43;0.0;0.0;3.16;0.0;;34.06;1.22;0.49;0.73;3.89;2.68;2.92
Bizkaia;ATXONDO;	091;;;1091;711;8;703;9;694;380;38.12;2.13;0.0;0.0;6.12;0.0;;50.5;0.14;0.0;0.14;0.43;0.0;1.14
Bizkaia;AULESTI;	070;;;517;346;;346;2;344;171;27.17;1.45;0.0;0.0;0.58;0.0;;64.45;0.0;0.29;0.0;0.29;4.91;0.29
Bizkaia;BAKIO;	012;;;2236;1629;9;1620;18;1602;607;43.77;2.22;0.0;0.0;2.84;0.25;;45.86;0.62;0.19;0.31;1.17;0.12;1.54
Bizkaia;BALMASEDA;	090;;;5889;4011;64;3947;30;3917;1878;49.1;4.36;0.1;0.18;13.28;0.2;;25.36;1.37;0.43;0.25;1.44;0.46;2.71
Bizkaia;BARAKALDO;	013;;;78165;46236;378;45858;510;45348;31929;35.81;8.77;0.1;0.17;21.19;0.16;;22.12;2.47;0.26;0.6;2.5;0.14;4.6
Bizkaia;BARRIKA;	014;;;1249;795;8;787;11;776;454;41.8;7.37;0.0;0.0;8.51;0.0;;34.69;1.78;0.0;0.38;2.16;0.25;1.65
Bizkaia;BASAURI;	015;;;32377;19482;124;19358;150;19208;12895;38.58;7.38;0.19;0.18;19.52;0.09;;24.59;2.16;0.12;0.53;2.33;0.14;3.41
Bizkaia;BEDIA;	092;;;893;615;6;609;6;603;278;56.16;4.27;0.0;0.0;4.43;0.16;;30.87;0.82;0.33;0.16;0.49;0.0;1.31
Bizkaia;BERANGO;	016;;;5919;3917;27;3890;41;3849;2002;42.21;10.13;0.0;0.1;10.08;0.05;;28.3;1.49;0.18;0.62;2.24;0.18;3.37
Bizkaia;BERMEO;	017;;;13032;8259;54;8205;56;8149;4773;46.86;1.17;0.1;0.05;4.16;0.06;;42.68;0.69;0.2;0.33;1.26;0.22;1.55
Bizkaia;BERRIATUA;	018;;;879;543;4;539;7;532;336;38.4;0.37;0.0;0.0;0.93;0.0;;57.51;0.0;0.0;0.37;0.93;0.0;0.19
Bizkaia;BERRIZ;	019;;;3426;2236;24;2212;22;2190;1190;36.48;3.84;0.05;0.18;10.31;0.18;;40.33;1.18;0.0;0.63;3.35;0.0;2.49
Bizkaia;BILBAO;	020;;;267386;164927;977;163950;1598;162352;102459;39.16;12.7;0.08;0.11;14.81;0.25;;22.23;2.46;0.27;0.54;2.45;0.11;3.84
Bizkaia;BUSTURIA;	021;;;1341;886;7;879;5;874;455;44.37;2.84;0.0;0.0;5.23;0.23;;43.0;0.46;0.0;0.34;1.25;0.0;1.71
Bizkaia;DERIO;	901;;;5476;3634;34;3600;40;3560;1842;38.61;6.25;0.25;0.03;15.14;0.17;;30.42;1.56;0.28;0.42;1.61;0.14;4.03
Bizkaia;DIMA;	026;;;1202;892;8;884;6;878;310;31.33;1.13;0.0;0.0;1.36;0.0;;61.88;0.45;0.0;0.23;1.36;0.45;1.13
Bizkaia;DURANGO;	027;;;22738;15045;110;14935;143;14792;7693;37.22;6.45;0.08;0.09;10.1;0.13;;37.5;1.14;0.22;0.35;2.83;0.15;2.78
Bizkaia;EA;	028;;;695;525;1;524;13;511;170;38.17;0.95;0.0;0.0;1.15;0.19;;54.58;0.38;0.19;0.19;1.34;0.0;0.38
Bizkaia;ELANTXOBE;	031;;;291;201;1;200;1;199;90;45.5;1.5;0.0;0.0;0.5;0.0;;50.5;0.5;0.0;0.0;0.0;0.0;1.0
Bizkaia;ELORRIO;	032;;;5686;3841;30;3811;37;3774;1845;35.4;4.43;0.03;0.03;7.5;0.0;;45.92;0.52;0.05;0.21;2.81;0.24;1.89
Bizkaia;ERANDIO;	902;;;19159;11488;110;11378;95;11283;7671;39.15;5.74;0.18;0.13;17.74;0.18;;27.69;1.87;0.25;0.82;2.1;0.25;3.08
Bizkaia;EREÑO;	033;;;224;171;3;168;;168;53;45.24;2.38;0.0;0.0;1.79;0.0;;45.24;0.6;0.0;0.6;1.79;0.6;1.79
Bizkaia;ERMUA;	034;;;12324;7674;59;7615;67;7548;4650;27.33;11.36;0.17;0.47;24.12;0.11;;23.69;2.35;0.28;0.6;2.88;0.11;5.66
Bizkaia;ERRIGOITI;	079;;;407;304;5;299;2;297;103;49.16;0.0;0.33;0.0;1.67;0.0;;46.49;0.0;0.0;0.0;0.67;0.0;1.0
